Date,Open,High,Low,Close
01/01/2013,19513.45,19623.76,19508.93,19580.81
01/02/2013,19693.3,19756.68,19686.5,19714.24
01/03/2013,19771.03,19786.3,19693.29,19764.78
01/04/2013,19782.59,19797.44,19679.99,19784.08
01/07/2013,19820.56,19856.43,19654.46,19691.42
01/08/2013,19681.38,19761.78,19632.59,19742.52
01/09/2013,19770.21,19824.06,19627.16,19666.59
01/10/2013,19728.02,19783.75,19596.38,19663.55
01/11/2013,19813.64,19839.8,19619.83,19663.64
01/14/2013,19689.09,19948.63,19689.09,19906.41
01/15/2013,19999.82,20036.82,19881.78,19986.82
01/16/2013,19978.19,20009.36,19783.02,19817.63
01/17/2013,19846.42,20005.98,19783.41,19964.03
01/18/2013,20038.67,20126.55,19990.62,20039.04
01/21/2013,20132.83,20163.38,20056.46,20101.82
01/22/2013,20102.43,20156.86,19952.91,19981.57
01/23/2013,19997.04,20058.07,19920.91,20026.61
01/24/2013,20017.2,20072.28,19884.2,19923.78
01/25/2013,19945.69,20129.01,19928.11,20103.53
01/28/2013,20129,20172.45,20062.79,20103.35
01/29/2013,20080.31,20203.66,19970.05,19990.9
01/30/2013,20014.8,20073.46,19964.64,20005
01/31/2013,19987.28,20008.83,19865.72,19894.98
02/01/2013,19907.21,19966.69,19736.45,19781.19
02/04/2013,19860.97,19902.6,19728.21,19751.19
02/05/2013,19665.54,19717.26,19631.97,19659.82
02/06/2013,19737.77,19767.25,19611.27,19639.72
02/07/2013,19589.44,19702.56,19540.08,19580.32
02/08/2013,19577.19,19648.07,19414.8,19484.77
02/11/2013,19517.59,19543.44,19416.94,19460.57
02/12/2013,19489.87,19583.53,19438.53,19561.04
02/13/2013,19601.69,19723.01,19574.15,19608.08
02/14/2013,19626.81,19639.83,19444.33,19497.18
02/15/2013,19449.83,19512.89,19381.82,19468.15
02/18/2013,19496.25,19554.48,19462.92,19501.08
02/19/2013,19523.7,19671.17,19457.21,19635.72
02/20/2013,19717.94,19742.42,19619.89,19642.75
02/21/2013,19549.05,19554.65,19289.7,19325.36
02/22/2013,19341.9,19401.75,19289.83,19317.01
02/25/2013,19365.33,19411.18,19237.98,19331.69
02/26/2013,19290.66,19293.49,18976.94,19015.14
02/27/2013,19090.32,19213.02,18997.82,19152.41
02/28/2013,19264.8,19322.28,18793.97,18861.54
03/01/2013,18876.68,18988.97,18820.9,18918.52
03/04/2013,18920.9,18930.86,18760.41,18877.96
03/05/2013,18943.62,19164.04,18943.62,19143.17
03/06/2013,19254.2,19293.39,19195.47,19252.61
03/07/2013,19222.05,19465.52,19212.92,19413.54
03/08/2013,19478.67,19706.03,19477.61,19683.23
03/11/2013,19679.88,19754.66,19602.71,19646.21
03/12/2013,19675.81,19697.84,19505.75,19564.92
03/13/2013,19511.97,19511.97,19338.52,19362.55
03/14/2013,19367.26,19604.7,19179.33,19570.44
03/15/2013,19570.01,19673.16,19383.13,19427.56
03/18/2013,19282.63,19345.42,19232.23,19293.2
03/19/2013,19345.91,19378.61,18939.47,19008.1
03/20/2013,19026.46,19028.09,18836.77,18884.19
03/21/2013,18926.21,19082.29,18756.65,18792.87
03/22/2013,18784.93,18859.82,18669.2,18735.6
03/25/2013,18894.13,18950.22,18654.61,18681.42
